LLM,Strategy,Parsed
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,only_prompt,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
gemini-2-5-pro,grammar,False
