LLM,Strategy,File,Score
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_DeletedFamily,83.57958221435547
claude-sonnet-4,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedDaughter,76.00196838378906
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,95.45182800292969
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_CreatedFather,77.18399810791016
claude-sonnet-4,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_ComponentContainerInsertedAsRoot,95.45182800292969
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_TaskDeleted,86.64656066894531
claude-sonnet-4,few_shots_AND_grammar,FamiliesToPersons_InsertedDaughter,77.95852661132812
claude-sonnet-4,few_shots_AND_grammar,NetworkToGraph_ComponentInsertedIntoSystem,90.4963607788086
claude-sonnet-4,only_prompt,FamiliesToPersons_InsertedFamilyRegister,90.17565155029297
claude-sonnet-4,only_prompt,FamiliesToPersons_DeletedMember,75.9972915649414
claude-sonnet-4,only_prompt,NetworkToGraph_CreateAndRegisterRoot,83.52436828613281
claude-sonnet-4,only_prompt,NetworkToGraph_ComponentDeleted,84.24880981445312
claude-sonnet-4,only_prompt,NetworkToGraph_ComponentRenamed,86.01432037353516
claude-sonnet-4,only_prompt,AmaltheaToAscet_ComponentContainerInsertedAsRoot,85.07038116455078
claude-sonnet-4,only_prompt,NetworkToGraph_ComponentInsertedIntoSystem,80.72684478759766
claude-sonnet-4,only_prompt,FamiliesToPersons_DeletedFamily,85.41896057128906
claude-sonnet-4,only_prompt,AmaltheaToAscet_TaskCreated,61.02639389038086
claude-sonnet-4,only_prompt,AmaltheaToAscet_TaskDeleted,78.06409454345703
claude-sonnet-4,grammar,FamiliesToPersons_DeletedMember,83.41221618652344
claude-sonnet-4,grammar,NetworkToGraph_CreateAndRegisterRoot,93.39369201660156
claude-sonnet-4,only_prompt,FamiliesToPersons_CreatedFather,69.73291015625
claude-sonnet-4,few_shots_AND_grammar,AmaltheaToAscet_TaskCreated,69.99429321289062
claude-sonnet-4,grammar,FamiliesToPersons_InsertedFamilyRegister,98.34769439697266
claude-sonnet-4,grammar,NetworkToGraph_ComponentDeleted,93.06327819824219
claude-sonnet-4,only_prompt,FamiliesToPersons_InsertedDaughter,73.59903717041016
claude-sonnet-4,grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,94.30413055419922
claude-sonnet-4,grammar,NetworkToGraph_ComponentInsertedIntoSystem,97.22581481933594
claude-sonnet-4,grammar,FamiliesToPersons_DeletedFamily,87.69180297851562
claude-sonnet-4,grammar,NetworkToGraph_ComponentRenamed,96.43534088134766
claude-sonnet-4,grammar,AmaltheaToAscet_TaskCreated,67.59674072265625
claude-sonnet-4,grammar,FamiliesToPersons_CreatedFather,70.183837890625
gpt-5,few_shot,NetworkToGraph_CreateAndRegisterRoot,93.84260559082031
gpt-5,few_shot,FamiliesToPersons_DeletedMember,95.52365112304688
claude-sonnet-4,grammar,AmaltheaToAscet_TaskDeleted,89.8880386352539
gpt-5,few_shot,FamiliesToPersons_InsertedFamilyRegister,94.73480224609375
gpt-5,few_shot,FamiliesToPersons_DeletedFamily,91.53064727783203
claude-sonnet-4,grammar,FamiliesToPersons_InsertedDaughter,71.44790649414062
gpt-5,few_shot,NetworkToGraph_ComponentDeleted,98.36280822753906
gpt-5,few_shot,NetworkToGraph_ComponentRenamed,96.59691619873047
gpt-5,few_shot,NetworkToGraph_ComponentInsertedIntoSystem,92.72667694091797
gpt-5,few_shot,AmaltheaToAscet_TaskDeleted,91.40599822998047
gpt-5,few_shot,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gpt-5,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedMember,94.01763916015625
gpt-5,few_shot,FamiliesToPersons_CreatedFather,73.6181640625
gpt-5,few_shot,AmaltheaToAscet_TaskCreated,70.17281341552734
gpt-5,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedFamilyRegister,94.73480224609375
gpt-5,few_shots_AND_grammar_AND_helper,NetworkToGraph_CreateAndRegisterRoot,96.91027069091797
gpt-5,few_shot,FamiliesToPersons_InsertedDaughter,74.75001525878906
gpt-5,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentDeleted,98.36280822753906
gpt-5,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedFamily,86.4957046508789
gpt-5,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentRenamed,100.0
gpt-5,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskDeleted,89.82312774658203
gpt-5,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gpt-5,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentInsertedIntoSystem,92.1008071899414
gpt-5,few_shots_AND_grammar,FamiliesToPersons_DeletedMember,94.01763916015625
gpt-5,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedDaughter,69.53842163085938
gpt-5,few_shots_AND_grammar,NetworkToGraph_CreateAndRegisterRoot,93.84260559082031
gpt-5,few_shots_AND_grammar,FamiliesToPersons_InsertedFamilyRegister,94.73480224609375
gpt-5,few_shots_AND_grammar_AND_helper,FamiliesToPersons_CreatedFather,78.54470825195312
gpt-5,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskCreated,65.96533203125
gpt-5,few_shots_AND_grammar,FamiliesToPersons_DeletedFamily,88.36396026611328
gpt-5,few_shots_AND_grammar,NetworkToGraph_ComponentRenamed,93.10625457763672
gpt-5,few_shots_AND_grammar,NetworkToGraph_ComponentDeleted,94.81611633300781
gpt-5,few_shots_AND_grammar,NetworkToGraph_ComponentInsertedIntoSystem,90.8556900024414
gpt-5,few_shots_AND_grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gpt-5,few_shots_AND_grammar,AmaltheaToAscet_TaskDeleted,90.66275787353516
gpt-5,only_prompt,FamiliesToPersons_DeletedMember,68.8855972290039
gpt-5,only_prompt,NetworkToGraph_CreateAndRegisterRoot,65.57262420654297
gpt-5,only_prompt,FamiliesToPersons_InsertedFamilyRegister,62.2144889831543
gpt-5,few_shots_AND_grammar,AmaltheaToAscet_TaskCreated,65.42742156982422
gpt-5,only_prompt,NetworkToGraph_ComponentDeleted,70.50215911865234
gpt-5,few_shots_AND_grammar,FamiliesToPersons_CreatedFather,72.1746826171875
gpt-5,few_shots_AND_grammar,FamiliesToPersons_InsertedDaughter,76.09259796142578
gpt-5,only_prompt,NetworkToGraph_ComponentRenamed,66.8113021850586
gpt-5,only_prompt,FamiliesToPersons_DeletedFamily,61.15200424194336
gpt-5,only_prompt,NetworkToGraph_ComponentInsertedIntoSystem,56.41489791870117
gpt-5,only_prompt,AmaltheaToAscet_ComponentContainerInsertedAsRoot,63.48884582519531
gpt-5,only_prompt,AmaltheaToAscet_TaskDeleted,62.282623291015625
gpt-5,grammar,FamiliesToPersons_DeletedMember,87.4690933227539
gpt-5,grammar,NetworkToGraph_CreateAndRegisterRoot,85.97430419921875
gpt-5,grammar,FamiliesToPersons_InsertedFamilyRegister,90.43350982666016
gpt-5,only_prompt,FamiliesToPersons_CreatedFather,61.41268539428711
gpt-5,only_prompt,FamiliesToPersons_InsertedDaughter,62.82264709472656
gpt-5,grammar,NetworkToGraph_ComponentDeleted,86.95143127441406
gpt-5,only_prompt,AmaltheaToAscet_TaskCreated,53.67938995361328
gpt-5,grammar,NetworkToGraph_ComponentRenamed,96.11625671386719
gpt-5,grammar,FamiliesToPersons_DeletedFamily,58.12621307373047
gpt-5,grammar,NetworkToGraph_ComponentInsertedIntoSystem,91.66555786132812
gpt-5,grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,83.03726959228516
gpt-5,grammar,AmaltheaToAscet_TaskDeleted,87.060302734375
gemini-2-5-pro,few_shot,FamiliesToPersons_DeletedMember,89.24581146240234
gemini-2-5-pro,few_shot,NetworkToGraph_CreateAndRegisterRoot,96.91027069091797
gpt-5,grammar,FamiliesToPersons_CreatedFather,77.14718627929688
gemini-2-5-pro,few_shot,FamiliesToPersons_InsertedFamilyRegister,93.24424743652344
gemini-2-5-pro,few_shot,FamiliesToPersons_DeletedFamily,89.5532455444336
gpt-5,grammar,FamiliesToPersons_InsertedDaughter,71.7460708618164
gpt-5,grammar,AmaltheaToAscet_TaskCreated,62.596534729003906
gemini-2-5-pro,few_shot,NetworkToGraph_ComponentDeleted,95.85231018066406
gemini-2-5-pro,few_shot,NetworkToGraph_ComponentRenamed,91.28803253173828
gemini-2-5-pro,few_shot,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gemini-2-5-pro,few_shot,NetworkToGraph_ComponentInsertedIntoSystem,89.5888900756836
gemini-2-5-pro,few_shot,AmaltheaToAscet_TaskDeleted,84.74869537353516
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedMember,98.63404083251953
gemini-2-5-pro,few_shot,FamiliesToPersons_CreatedFather,83.24240112304688
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,NetworkToGraph_CreateAndRegisterRoot,96.91027069091797
gemini-2-5-pro,few_shot,FamiliesToPersons_InsertedDaughter,65.44752502441406
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedFamilyRegister,97.76942443847656
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentDeleted,98.36280822753906
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentRenamed,94.92521667480469
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,NetworkToGraph_ComponentInsertedIntoSystem,91.1310043334961
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskDeleted,86.07206726074219
gemini-2-5-pro,few_shot,AmaltheaToAscet_TaskCreated,70.93436431884766
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,FamiliesToPersons_DeletedFamily,88.32868957519531
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_DeletedMember,96.10115051269531
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,FamiliesToPersons_CreatedFather,77.97128295898438
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,FamiliesToPersons_InsertedDaughter,70.87789154052734
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_CreateAndRegisterRoot,96.91027069091797
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_InsertedFamilyRegister,95.2335205078125
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_ComponentDeleted,98.36280822753906
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,AmaltheaToAscet_TaskCreated,74.30828857421875
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_ComponentInsertedIntoSystem,93.97552490234375
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_ComponentRenamed,94.84233856201172
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_DeletedFamily,87.2528305053711
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,93.00675964355469
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_TaskDeleted,89.33183288574219
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_InsertedDaughter,77.19871520996094
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_CreatedFather,85.319580078125
gemini-2-5-pro,only_prompt,FamiliesToPersons_DeletedMember,58.17354965209961
gemini-2-5-pro,only_prompt,NetworkToGraph_CreateAndRegisterRoot,55.38629150390625
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_TaskCreated,68.80695343017578
gemini-2-5-pro,only_prompt,FamiliesToPersons_InsertedFamilyRegister,69.47718048095703
gemini-2-5-pro,only_prompt,NetworkToGraph_ComponentDeleted,65.78093719482422
gemini-2-5-pro,only_prompt,NetworkToGraph_ComponentRenamed,64.19910430908203
gemini-2-5-pro,only_prompt,FamiliesToPersons_DeletedFamily,61.68363571166992
gemini-2-5-pro,only_prompt,AmaltheaToAscet_ComponentContainerInsertedAsRoot,68.48638916015625
gemini-2-5-pro,only_prompt,NetworkToGraph_ComponentInsertedIntoSystem,61.89820861816406
gemini-2-5-pro,only_prompt,AmaltheaToAscet_TaskCreated,46.586997985839844
gemini-2-5-pro,only_prompt,FamiliesToPersons_CreatedFather,56.4049186706543
gemini-2-5-pro,grammar,NetworkToGraph_CreateAndRegisterRoot,81.74038696289062
gemini-2-5-pro,grammar,FamiliesToPersons_InsertedFamilyRegister,86.82335662841797
gemini-2-5-pro,only_prompt,AmaltheaToAscet_TaskDeleted,64.48792266845703
gemini-2-5-pro,only_prompt,FamiliesToPersons_InsertedDaughter,56.707061767578125
gemini-2-5-pro,grammar,FamiliesToPersons_DeletedFamily,75.88713836669922
gemini-2-5-pro,grammar,NetworkToGraph_ComponentRenamed,93.73137664794922
gemini-2-5-pro,grammar,NetworkToGraph_ComponentInsertedIntoSystem,89.76457214355469
gemini-2-5-pro,grammar,AmaltheaToAscet_ComponentContainerInsertedAsRoot,79.85447692871094
gemini-2-5-pro,grammar,FamiliesToPersons_DeletedMember,75.4604721069336
gemini-2-5-pro,grammar,AmaltheaToAscet_TaskCreated,60.297183990478516
gemini-2-5-pro,grammar,FamiliesToPersons_CreatedFather,73.844970703125
gemini-2-5-pro,grammar,AmaltheaToAscet_TaskDeleted,84.52864837646484
gemini-2-5-pro,grammar,FamiliesToPersons_InsertedDaughter,68.69486236572266
gemini-2-5-pro,grammar,NetworkToGraph_ComponentDeleted,90.97209930419922
