LLM,Strategy,File,Parsed,ProblemCount
claude-sonnet-4,grammar,NetworkToGraph_All,True,0
claude-sonnet-4,grammar,PetriNet2Grafcet_All,True,0
claude-sonnet-4,grammar,User2Account_All,True,0
claude-sonnet-4,grammar,XML2DSL_All,False,1
claude-sonnet-4,only_prompt,AmaltheaToAscet_All,True,0
claude-sonnet-4,only_prompt,BibTeX2DocBook_All,True,0
claude-sonnet-4,only_prompt,Class2Interface_All,True,0
claude-sonnet-4,only_prompt,CPL2SPL_All,False,1
claude-sonnet-4,only_prompt,Document2Report_All,True,0
claude-sonnet-4,only_prompt,DSL2KM3_All,True,0
claude-sonnet-4,only_prompt,FamiliesToPersons_All,True,0
claude-sonnet-4,only_prompt,Grafcet2PetriNet_All,True,0
claude-sonnet-4,only_prompt,IEEE1471_2_MoDAF_All,True,0
claude-sonnet-4,only_prompt,Item2Product_All,True,0
claude-sonnet-4,only_prompt,Make2Ant_All,True,0
claude-sonnet-4,only_prompt,NetworkToGraph_All,False,4
claude-sonnet-4,only_prompt,PetriNet2Grafcet_All,True,0
claude-sonnet-4,only_prompt,User2Account_All,True,0
claude-sonnet-4,only_prompt,XML2DSL_All,False,1
gemini-2-5-pro,few_shot,AmaltheaToAscet_All,False,1
gemini-2-5-pro,few_shot,BibTeX2DocBook_All,True,0
gemini-2-5-pro,few_shot,Class2Interface_All,True,0
gemini-2-5-pro,few_shot,CPL2SPL_All,False,1
gemini-2-5-pro,few_shot,Document2Report_All,True,0
gemini-2-5-pro,few_shot,DSL2KM3_All,True,0
gemini-2-5-pro,few_shot,FamiliesToPersons_All,True,0
gemini-2-5-pro,few_shot,Grafcet2PetriNet_All,True,0
gemini-2-5-pro,few_shot,IEEE1471_2_MoDAF_All,False,1
gemini-2-5-pro,few_shot,Item2Product_All,True,0
gemini-2-5-pro,few_shot,Make2Ant_All,True,0
gemini-2-5-pro,few_shot,NetworkToGraph_All,True,0
gemini-2-5-pro,few_shot,PetriNet2Grafcet_All,True,0
gemini-2-5-pro,few_shot,User2Account_All,True,0
gemini-2-5-pro,few_shot,XML2DSL_All,False,4
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,BibTeX2DocBook_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,Class2Interface_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,CPL2SPL_All,False,1
gemini-2-5-pro,few_shots_AND_grammar,Document2Report_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,DSL2KM3_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,Grafcet2PetriNet_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,Item2Product_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,Make2Ant_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,PetriNet2Grafcet_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,User2Account_All,True,0
gemini-2-5-pro,few_shots_AND_grammar,XML2DSL_All,False,2
gemini-2-5-pro,grammar,AmaltheaToAscet_All,False,3
gemini-2-5-pro,grammar,BibTeX2DocBook_All,True,0
gemini-2-5-pro,grammar,Class2Interface_All,True,0
gemini-2-5-pro,grammar,CPL2SPL_All,False,1
gemini-2-5-pro,grammar,Document2Report_All,True,0
gemini-2-5-pro,grammar,DSL2KM3_All,True,0
gemini-2-5-pro,grammar,FamiliesToPersons_All,True,0
gemini-2-5-pro,grammar,Grafcet2PetriNet_All,True,0
gemini-2-5-pro,grammar,IEEE1471_2_MoDAF_All,False,2
gemini-2-5-pro,grammar,Item2Product_All,True,0
gemini-2-5-pro,grammar,Make2Ant_All,True,0
gemini-2-5-pro,grammar,NetworkToGraph_All,True,0
gemini-2-5-pro,grammar,PetriNet2Grafcet_All,True,0
gemini-2-5-pro,grammar,User2Account_All,True,0
gemini-2-5-pro,grammar,XML2DSL_All,False,37
gemini-2-5-pro,only_prompt,AmaltheaToAscet_All,True,0
gemini-2-5-pro,only_prompt,BibTeX2DocBook_All,True,0
gemini-2-5-pro,only_prompt,Class2Interface_All,True,0
gemini-2-5-pro,only_prompt,CPL2SPL_All,False,3
gemini-2-5-pro,only_prompt,Document2Report_All,True,0
gemini-2-5-pro,only_prompt,DSL2KM3_All,True,0
gemini-2-5-pro,only_prompt,FamiliesToPersons_All,True,0
gemini-2-5-pro,only_prompt,Grafcet2PetriNet_All,True,0
gemini-2-5-pro,only_prompt,IEEE1471_2_MoDAF_All,False,17
gemini-2-5-pro,only_prompt,Item2Product_All,True,0
gemini-2-5-pro,only_prompt,Make2Ant_All,False,20
gemini-2-5-pro,only_prompt,NetworkToGraph_All,False,2
gemini-2-5-pro,only_prompt,PetriNet2Grafcet_All,True,0
gemini-2-5-pro,only_prompt,User2Account_All,True,0
gemini-2-5-pro,only_prompt,XML2DSL_All,True,0
gpt-5,few_shot,AmaltheaToAscet_All,True,0
gpt-5,few_shot,BibTeX2DocBook_All,False,3
gpt-5,few_shot,Class2Interface_All,True,0
gpt-5,few_shot,CPL2SPL_All,False,4
gpt-5,few_shot,Document2Report_All,True,0
gpt-5,few_shot,DSL2KM3_All,True,0
gpt-5,few_shot,FamiliesToPersons_All,True,0
gpt-5,few_shot,Grafcet2PetriNet_All,True,0
gpt-5,few_shot,IEEE1471_2_MoDAF_All,False,1
gpt-5,few_shot,Item2Product_All,True,0
gpt-5,few_shot,Make2Ant_All,True,0
gpt-5,few_shot,NetworkToGraph_All,True,0
gpt-5,few_shot,PetriNet2Grafcet_All,True,0
gpt-5,few_shot,User2Account_All,True,0
gpt-5,few_shot,XML2DSL_All,True,0
gpt-5,few_shots_AND_grammar,AmaltheaToAscet_All,True,0
gpt-5,few_shots_AND_grammar,BibTeX2DocBook_All,False,5
gpt-5,few_shots_AND_grammar,Class2Interface_All,True,0
gpt-5,few_shots_AND_grammar,CPL2SPL_All,False,1
gpt-5,few_shots_AND_grammar,Document2Report_All,True,0
gpt-5,few_shots_AND_grammar,DSL2KM3_All,True,0
gpt-5,few_shots_AND_grammar,FamiliesToPersons_All,True,0
gpt-5,few_shots_AND_grammar,Grafcet2PetriNet_All,True,0
gpt-5,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,True,0
gpt-5,few_shots_AND_grammar,Item2Product_All,True,0
gpt-5,few_shots_AND_grammar,Make2Ant_All,True,0
gpt-5,few_shots_AND_grammar,NetworkToGraph_All,True,0
gpt-5,few_shots_AND_grammar,PetriNet2Grafcet_All,True,0
gpt-5,few_shots_AND_grammar,User2Account_All,True,0
gpt-5,few_shots_AND_grammar,XML2DSL_All,True,0
gpt-5,grammar,AmaltheaToAscet_All,False,1
gpt-5,grammar,BibTeX2DocBook_All,False,3
gpt-5,grammar,Class2Interface_All,True,0
gpt-5,grammar,CPL2SPL_All,False,895
gpt-5,grammar,Document2Report_All,True,0
gpt-5,grammar,DSL2KM3_All,False,27
gpt-5,grammar,FamiliesToPersons_All,False,7
gpt-5,grammar,Grafcet2PetriNet_All,True,0
gpt-5,grammar,IEEE1471_2_MoDAF_All,False,2
gpt-5,grammar,Item2Product_All,True,0
gpt-5,grammar,Make2Ant_All,False,2
gpt-5,grammar,NetworkToGraph_All,True,0
gpt-5,grammar,PetriNet2Grafcet_All,False,31
gpt-5,grammar,User2Account_All,True,0
gpt-5,grammar,XML2DSL_All,False,2
gpt-5,only_prompt,AmaltheaToAscet_All,True,0
gpt-5,only_prompt,BibTeX2DocBook_All,True,0
gpt-5,only_prompt,Class2Interface_All,True,0
gpt-5,only_prompt,CPL2SPL_All,False,5
gpt-5,only_prompt,Document2Report_All,True,0
gpt-5,only_prompt,DSL2KM3_All,False,11
gpt-5,only_prompt,FamiliesToPersons_All,True,0
gpt-5,only_prompt,Grafcet2PetriNet_All,True,0
gpt-5,only_prompt,IEEE1471_2_MoDAF_All,True,0
gpt-5,only_prompt,Item2Product_All,True,0
gpt-5,only_prompt,Make2Ant_All,True,0
gpt-5,only_prompt,NetworkToGraph_All,False,1
gpt-5,only_prompt,PetriNet2Grafcet_All,True,0
gpt-5,only_prompt,User2Account_All,True,0
gpt-5,only_prompt,XML2DSL_All,False,1
