LLM,Strategy,File,CHRF_Score
claude-sonnet-4,grammar,Make2Ant_All,50.3889
claude-sonnet-4,grammar,NetworkToGraph_All,96.1684
claude-sonnet-4,grammar,PetriNet2Grafcet_All,37.9253
claude-sonnet-4,grammar,User2Account_All,58.9108
claude-sonnet-4,grammar,XML2DSL_All,42.7674
claude-sonnet-4,only_prompt,AmaltheaToAscet_All,82.1362
claude-sonnet-4,only_prompt,BibTeX2DocBook_All,53.4473
claude-sonnet-4,only_prompt,Class2Interface_All,62.7906
claude-sonnet-4,only_prompt,CPL2SPL_All,59.7417
claude-sonnet-4,only_prompt,Document2Report_All,61.2764
claude-sonnet-4,only_prompt,DSL2KM3_All,47.2802
claude-sonnet-4,only_prompt,FamiliesToPersons_All,85.1978
claude-sonnet-4,only_prompt,Grafcet2PetriNet_All,36.109
claude-sonnet-4,only_prompt,IEEE1471_2_MoDAF_All,49.0696
claude-sonnet-4,only_prompt,Item2Product_All,63.3176
claude-sonnet-4,only_prompt,Make2Ant_All,50.3574
claude-sonnet-4,only_prompt,NetworkToGraph_All,74.3856
claude-sonnet-4,only_prompt,PetriNet2Grafcet_All,37.3943
claude-sonnet-4,only_prompt,User2Account_All,59.9114
claude-sonnet-4,only_prompt,XML2DSL_All,43.8081
gemini-2-5-pro,few_shot,AmaltheaToAscet_All,88.119
gemini-2-5-pro,few_shot,BibTeX2DocBook_All,44.9629
gemini-2-5-pro,few_shot,Class2Interface_All,61.876
gemini-2-5-pro,few_shot,CPL2SPL_All,61.5847
gemini-2-5-pro,few_shot,Document2Report_All,57.7197
gemini-2-5-pro,few_shot,DSL2KM3_All,41.0192
gemini-2-5-pro,few_shot,FamiliesToPersons_All,87.4033
gemini-2-5-pro,few_shot,Grafcet2PetriNet_All,34.6025
gemini-2-5-pro,few_shot,IEEE1471_2_MoDAF_All,52.2957
gemini-2-5-pro,few_shot,Item2Product_All,63.3176
gemini-2-5-pro,few_shot,Make2Ant_All,49.5889
gemini-2-5-pro,few_shot,NetworkToGraph_All,93.3363
gemini-2-5-pro,few_shot,PetriNet2Grafcet_All,35.775
gemini-2-5-pro,few_shot,User2Account_All,60.2551
gemini-2-5-pro,few_shot,XML2DSL_All,44.549
gemini-2-5-pro,few_shots_AND_grammar,AmaltheaToAscet_All,88.8112
gemini-2-5-pro,few_shots_AND_grammar,BibTeX2DocBook_All,53.0188
gemini-2-5-pro,few_shots_AND_grammar,Class2Interface_All,55.1908
gemini-2-5-pro,few_shots_AND_grammar,CPL2SPL_All,59.4197
gemini-2-5-pro,few_shots_AND_grammar,Document2Report_All,57.7197
gemini-2-5-pro,few_shots_AND_grammar,DSL2KM3_All,43.6814
gemini-2-5-pro,few_shots_AND_grammar,FamiliesToPersons_All,90.8194
gemini-2-5-pro,few_shots_AND_grammar,Grafcet2PetriNet_All,34.6025
gemini-2-5-pro,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,46.2997
gemini-2-5-pro,few_shots_AND_grammar,Item2Product_All,55.8396
gemini-2-5-pro,few_shots_AND_grammar,Make2Ant_All,51.3206
gemini-2-5-pro,few_shots_AND_grammar,NetworkToGraph_All,72.518
gemini-2-5-pro,few_shots_AND_grammar,PetriNet2Grafcet_All,35.651
gemini-2-5-pro,few_shots_AND_grammar,User2Account_All,63.2003
gemini-2-5-pro,few_shots_AND_grammar,XML2DSL_All,46.0118
gemini-2-5-pro,grammar,AmaltheaToAscet_All,82.3418
gemini-2-5-pro,grammar,BibTeX2DocBook_All,54.6279
gemini-2-5-pro,grammar,Class2Interface_All,55.1908
gemini-2-5-pro,grammar,CPL2SPL_All,62.0333
gemini-2-5-pro,grammar,Document2Report_All,57.7197
gemini-2-5-pro,grammar,DSL2KM3_All,42.3263
gemini-2-5-pro,grammar,FamiliesToPersons_All,87.5302
gemini-2-5-pro,grammar,Grafcet2PetriNet_All,34.6025
gemini-2-5-pro,grammar,IEEE1471_2_MoDAF_All,47.7421
gemini-2-5-pro,grammar,Item2Product_All,59.5907
gemini-2-5-pro,grammar,Make2Ant_All,51.5269
gemini-2-5-pro,grammar,NetworkToGraph_All,75.1891
gemini-2-5-pro,grammar,PetriNet2Grafcet_All,37.668
gemini-2-5-pro,grammar,User2Account_All,67.8233
gemini-2-5-pro,grammar,XML2DSL_All,41.3405
gemini-2-5-pro,only_prompt,AmaltheaToAscet_All,86.7693
gemini-2-5-pro,only_prompt,BibTeX2DocBook_All,52.9414
gemini-2-5-pro,only_prompt,Class2Interface_All,62.7906
gemini-2-5-pro,only_prompt,CPL2SPL_All,56.6121
gemini-2-5-pro,only_prompt,Document2Report_All,57.7197
gemini-2-5-pro,only_prompt,DSL2KM3_All,38.2121
gemini-2-5-pro,only_prompt,FamiliesToPersons_All,90.8194
gemini-2-5-pro,only_prompt,Grafcet2PetriNet_All,36.3246
gemini-2-5-pro,only_prompt,IEEE1471_2_MoDAF_All,51.6293
gemini-2-5-pro,only_prompt,Item2Product_All,63.3176
gemini-2-5-pro,only_prompt,Make2Ant_All,49.8383
gemini-2-5-pro,only_prompt,NetworkToGraph_All,71.5232
gemini-2-5-pro,only_prompt,PetriNet2Grafcet_All,35.651
gemini-2-5-pro,only_prompt,User2Account_All,60.0737
gemini-2-5-pro,only_prompt,XML2DSL_All,41.6667
gpt-5,few_shot,AmaltheaToAscet_All,88.6172
gpt-5,few_shot,BibTeX2DocBook_All,49.711
gpt-5,few_shot,Class2Interface_All,69.6592
gpt-5,few_shot,CPL2SPL_All,60.4816
gpt-5,few_shot,Document2Report_All,62.1466
gpt-5,few_shot,DSL2KM3_All,56.0795
gpt-5,few_shot,FamiliesToPersons_All,81.9678
gpt-5,few_shot,Grafcet2PetriNet_All,52.5206
gpt-5,few_shot,IEEE1471_2_MoDAF_All,63.5108
gpt-5,few_shot,Item2Product_All,70.8395
gpt-5,few_shot,Make2Ant_All,51.377
gpt-5,few_shot,NetworkToGraph_All,98.9943
gpt-5,few_shot,PetriNet2Grafcet_All,36.1107
gpt-5,few_shot,User2Account_All,68.7276
gpt-5,few_shot,XML2DSL_All,45.7471
gpt-5,few_shots_AND_grammar,AmaltheaToAscet_All,89.4051
gpt-5,few_shots_AND_grammar,BibTeX2DocBook_All,51.3948
gpt-5,few_shots_AND_grammar,Class2Interface_All,70.3285
gpt-5,few_shots_AND_grammar,CPL2SPL_All,64.4604
gpt-5,few_shots_AND_grammar,Document2Report_All,57.7197
gpt-5,few_shots_AND_grammar,DSL2KM3_All,53.3068
gpt-5,few_shots_AND_grammar,FamiliesToPersons_All,84.0061
gpt-5,few_shots_AND_grammar,Grafcet2PetriNet_All,36.727
gpt-5,few_shots_AND_grammar,IEEE1471_2_MoDAF_All,62.6243
gpt-5,few_shots_AND_grammar,Item2Product_All,68.8299
gpt-5,few_shots_AND_grammar,Make2Ant_All,56.4575
gpt-5,few_shots_AND_grammar,NetworkToGraph_All,98.9943
gpt-5,few_shots_AND_grammar,PetriNet2Grafcet_All,37.6487
gpt-5,few_shots_AND_grammar,User2Account_All,67.4902
gpt-5,few_shots_AND_grammar,XML2DSL_All,49.1763
gpt-5,grammar,AmaltheaToAscet_All,84.2506
gpt-5,grammar,BibTeX2DocBook_All,50.2034
gpt-5,grammar,Class2Interface_All,68.8122
gpt-5,grammar,CPL2SPL_All,56.1555
gpt-5,grammar,Document2Report_All,57.7197
gpt-5,grammar,DSL2KM3_All,51.3611
gpt-5,grammar,FamiliesToPersons_All,79.7378
gpt-5,grammar,Grafcet2PetriNet_All,36.056
gpt-5,grammar,IEEE1471_2_MoDAF_All,62.4628
gpt-5,grammar,Item2Product_All,60.6929
gpt-5,grammar,Make2Ant_All,47.8848
gpt-5,grammar,NetworkToGraph_All,91.7929
gpt-5,grammar,PetriNet2Grafcet_All,36.3731
gpt-5,grammar,User2Account_All,64.5313
gpt-5,grammar,XML2DSL_All,41.0005
gpt-5,only_prompt,AmaltheaToAscet_All,80.3222
gpt-5,only_prompt,BibTeX2DocBook_All,49.9651
gpt-5,only_prompt,Class2Interface_All,61.3707
gpt-5,only_prompt,CPL2SPL_All,60.8659
gpt-5,only_prompt,Document2Report_All,57.7197
gpt-5,only_prompt,DSL2KM3_All,50.5251
gpt-5,only_prompt,FamiliesToPersons_All,86.9621
gpt-5,only_prompt,Grafcet2PetriNet_All,42.2247
gpt-5,only_prompt,IEEE1471_2_MoDAF_All,61.1866
gpt-5,only_prompt,Item2Product_All,60.6929
gpt-5,only_prompt,Make2Ant_All,52.8702
gpt-5,only_prompt,NetworkToGraph_All,85.3424
gpt-5,only_prompt,PetriNet2Grafcet_All,36.312
gpt-5,only_prompt,User2Account_All,56.6283
gpt-5,only_prompt,XML2DSL_All,45.8474
