LLM,Strategy,File,Parsed,ProblemCount,CHRF_Score
gpt-5,few_shot,OO2DB,False,1,60.4327
gpt-5,few_shot,Tree2Graph,True,0,67.5243
gpt-5,few_shot,base,True,0,91.5658
gpt-5,few_shot,equivalent,True,0,61.4592
gpt-5,few_shot,greedy,True,0,78.4425
gpt-5,few_shot,inheritance,True,0,63.5713
gpt-5,few_shot,lazy,True,0,91.1631
gpt-5,few_shot,multiple_targets,True,0,81.0291
gpt-5,few_shot,primary,True,0,73.5762
gpt-5,few_shot,rss2atom,True,0,70.736
gpt-5,few_shots_AND_grammar,OO2DB,False,9,64.7587
gpt-5,few_shots_AND_grammar,Tree2Graph,True,0,67.5243
gpt-5,few_shots_AND_grammar,base,True,0,91.5658
gpt-5,few_shots_AND_grammar,equivalent,True,0,59.2536
gpt-5,few_shots_AND_grammar,greedy,True,0,87.7697
gpt-5,few_shots_AND_grammar,inheritance,True,0,63.5713
gpt-5,few_shots_AND_grammar,lazy,True,0,91.1631
gpt-5,few_shots_AND_grammar,multiple_targets,True,0,81.0291
gpt-5,few_shots_AND_grammar,primary,True,0,75.6777
gpt-5,few_shots_AND_grammar,rss2atom,False,9,69.6167
gpt-5,grammar,OO2DB,False,13,57.0109
gpt-5,grammar,Tree2Graph,False,3,51.6661
gpt-5,grammar,base,True,0,76.7923
gpt-5,grammar,equivalent,True,0,47.6078
gpt-5,grammar,greedy,True,0,74.1624
gpt-5,grammar,inheritance,False,1,61.1257
gpt-5,grammar,lazy,True,0,70.4309
gpt-5,grammar,multiple_targets,True,0,63.0183
gpt-5,grammar,primary,True,0,64.5585
gpt-5,grammar,rss2atom,True,0,61.8413
gpt-5,only_prompt,OO2DB,False,17,57.2658
gpt-5,only_prompt,Tree2Graph,False,3,51.6661
gpt-5,only_prompt,base,True,0,79.0193
gpt-5,only_prompt,equivalent,True,0,55.3586
gpt-5,only_prompt,greedy,True,0,73.2476
gpt-5,only_prompt,inheritance,True,0,61.9217
gpt-5,only_prompt,lazy,False,7,66.8115
gpt-5,only_prompt,multiple_targets,True,0,60.0416
gpt-5,only_prompt,primary,True,0,71.7652
gpt-5,only_prompt,rss2atom,True,0,63.9218
