LLM,Strategy,File,CHRF_Score
gpt-5,grammar,OO2DB,57.0109
gpt-5,grammar,primary,64.5585
gpt-5,grammar,rss2atom,61.8413
gpt-5,grammar,Tree2Graph,51.6661
gpt-5,only_prompt,base,79.0193
gpt-5,only_prompt,equivalent,55.3586
gpt-5,only_prompt,greedy,73.2476
gpt-5,only_prompt,inheritance,61.9217
gpt-5,only_prompt,lazy,66.8115
gpt-5,only_prompt,multiple_targets,60.0416
gpt-5,only_prompt,OO2DB,57.2658
gpt-5,only_prompt,primary,71.7652
gpt-5,only_prompt,rss2atom,63.9218
gpt-5,only_prompt,Tree2Graph,51.6661
